equipe1;equipe2;but1;but2;vict1;null;vict2
AngersSCO;Lens;2;2;2.95;3.05;2.7
Lorient;Saint-Étienne;2;1;3.0;3.2;2.55
Reims;Montpellier;0;0;2.85;3.15;2.7
Nîmes;Nantes;1;1;3.15;3.3;2.4
Monaco;Brest;2;0;1.39;5.5;7.25
Dijon;PSG;0;4;11.0;7.0;1.24
Bordeaux;Metz;1;2;2.5;3.1;3.2
Rennes;Nice;1;2;1.83;3.45;4.95
Nîmes;Lorient;1;0;3.2;3.4;2.3
PSG;Monaco;0;2;1.65;4.0;5.5
Lorient;Lille;1;4;4.95;3.45;1.83
Strasbourg;AngersSCO;0;0;2.35;3.1;3.45
Lens;Dijon;2;1;1.49;4.35;7.25
Nîmes;Bordeaux;2;0;3.25;3.45;2.25
Nice;Metz;1;2;2.5;3.15;3.2
Montpellier;Rennes;2;1;3.1;3.35;2.4
Nantes;OlympiqueMarseille;1;1;2.65;3.1;3.0
Saint-Étienne;Reims;1;1;2.2;3.2;3.8
Brest;OlympiqueLyonnais;2;3;6.25;4.75;1.5
OlympiqueMarseille;Nice;3;2;2.3;3.35;3.3
Bordeaux;OlympiqueMarseille;0;0;2.5;3.2;3.1
Lille;Brest;0;0;1.5;4.25;7.25
AngersSCO;Nantes;1;3;2.2;3.05;3.9
Rennes;Saint-Étienne;0;2;1.95;3.45;4.25
Metz;Strasbourg;1;2;2.9;3.05;2.75
Dijon;Nîmes;0;2;2.65;3.3;2.8
Monaco;Lorient;2;2;1.39;5.25;7.75
OlympiqueLyonnais;Montpellier;1;2;1.39;5.5;7.25
Reims;Lens;1;1;3.15;3.0;2.6
PSG;Nice;2;1;1.26;6.75;10.25
OlympiqueMarseille;PSG;0;2;7.0;5.25;1.42
Nantes;Lille;0;2;4.8;3.5;1.83
Nîmes;Monaco;3;4;8.25;4.9;1.39
Nice;AngersSCO;3;0;2.85;3.15;2.7
Montpellier;Dijon;4;2;1.74;3.75;5.0
Saint-Étienne;Metz;1;0;2.3;3.15;3.45
Brest;Bordeaux;2;1;2.6;3.25;2.9
Lens;Rennes;0;0;2.7;3.2;2.85
OlympiqueLyonnais;Strasbourg;3;0;1.39;5.25;7.5
Lorient;Reims;1;0;2.9;3.25;2.6
PSG;Nîmes;3;0;1.11;11.0;20.0
Monaco;Nice;2;1;1.49;4.75;6.5
Dijon;OlympiqueLyonnais;0;1;8.75;6.0;1.32
Lens;OlympiqueMarseille;2;2;2.4;3.3;3.25
Saint-Étienne;Nantes;1;1;2.05;3.4;3.9
Reims;AngersSCO;0;0;2.65;3.0;3.0
Metz;Montpellier;1;1;2.65;3.05;3.0
Rennes;Lorient;1;1;1.67;3.95;5.75
Bordeaux;Lille;0;3;4.05;3.15;2.1
Strasbourg;Brest;2;2;1.8;3.85;4.55
Nantes;Monaco;1;2;4.95;3.85;1.74
Lille;Dijon;1;0;1.3;5.0;10.0
Lorient;PSG;3;2;14.0;9.25;1.17
Strasbourg;Reims;0;1;2.15;3.25;3.8
AngersSCO;Nîmes;3;1;1.69;3.8;5.75
Brest;Metz;2;4;1.95;3.45;4.25
Nice;Saint-Étienne;0;1;2.35;3.45;3.1
Montpellier;Lens;1;2;3.2;3.3;2.35
OlympiqueLyonnais;Bordeaux;2;1;1.36;5.5;8.25
Lorient;Dijon;3;2;2.3;3.35;3.3
Saint-Étienne;OlympiqueLyonnais;0;5;6.0;4.25;1.57
Rennes;Lille;0;1;3.1;2.9;2.7
Reims;Brest;1;0;2.55;3.35;2.95
Metz;Nantes;2;0;2.65;3.15;2.95
Dijon;Strasbourg;1;1;3.7;3.4;2.15
Bordeaux;AngersSCO;2;1;2.6;3.05;3.1
Monaco;OlympiqueMarseille;3;1;1.74;3.95;4.8
Lens;Nice;0;1;2.05;3.45;3.95
PSG;Montpellier;4;0;1.17;8.5;16.0
OlympiqueMarseille;Lens;0;1;2.1;3.35;3.85
OlympiqueLyonnais;Metz;0;1;1.34;5.5;9.0
Lille;Reims;2;1;1.61;3.9;6.25
Nantes;Lens;1;1;2.8;3.3;2.7
Nice;Bordeaux;0;3;2.4;3.25;3.25
Strasbourg;Saint-Étienne;1;0;1.65;3.95;5.75
